Title,Author,ISBN,Genres,Year,Pages,Notes,Read
1984,George Orwell,1234567890,Fiction; Science Fiction,1949,328,,False
To Kill a Mockingbird,Harper Lee,1234567891,Fiction,1960,281,,False
The Great Gatsby,F. Scott Fitzgerald,1234567892,Fiction,1925,180,,False
Brave New World,Aldous Huxley,1234567893,Fiction; Science Fiction,1932,311,,False
Moby-Dick,Herman Melville,1234567894,Fiction,1851,585,,Fals
War and Peace,Leo Tolstoy,1234567895,Fiction; Historical,1869,1225,,False
Pride and Prejudice,Jane Austen,1234567896,Fiction,1813,279,,False
The Catcher in the Rye,J.D. Salinger,1234567897,Fiction,1951,214,,False
The Hobbit,J.R.R. Tolkien,1234567898,Fantasy,1937,310,,False
Crime and Punishment,Fyodor Dostoevsky,1234567899,Fiction,1866,671,,False
Fahrenheit 451,Ray Bradbury,1234567800,Fiction; Science Fiction,1953,256,,False
The Lord of the Rings,J.R.R. Tolkien,1234567801,Fantasy,1954,1137,,False
Frankenstein,Mary Shelley,1234567802,Fiction; Science Fiction,1818,280,,False
The Picture of Dorian Gray,Oscar Wilde,1234567803,Fiction,1890,254,,False
Dracula,Bram Stoker,1234567804,Fiction; Horror,1897,418,,False
The Brothers Karamazov,Fyodor Dostoevsky,1234567805,Fiction,1880,824,,False
Slaughterhouse-Five,Kurt Vonnegut,1234567806,Fiction; Science Fiction,1969,275,,False
Catch-22,Joseph Heller,1234567807,Fiction,1961,453,,False
One Hundred Years of Solitude,Gabriel García Márquez,1234567808,Fiction; Magical Realism,1967,417,,False
The Alchemist,Paulo Coelho,1234567809,Fiction; Philosophical,1988,208,,False
